复	fuk6/fuk1/fau6/fuk1
歉	hip3/him3
蝕	sik6/sit6
嘘	heui1
居	geui1
晅	syun2
屝	fei6
肤	fu1
際	jai3
矸	gon1/gon3
枘	yeui6
呜	wu1
蹑	nip6
涎	yin4
筊	gaau2
贯	gun3
檎	kam4
㗎	gaa4
束	chuk1
钓	diu3
椗	ding3
盒	hap6
蛌	gu2
澦	yu6
咎	gau3
叨	dou1/tou1
痻	fan1
人	yan4
砬	laap6
甌	au1
类	leui6
褶	jip3
舝	hat6
噍	jiu6/jehw
渧	dai3
春	cheun1
綱	gong1
任	yam6
哜	chai6/jai6
忆	yik1
婵	sim4/sin4
飘	piu1
揮	fai1
义	yi6
跩	jai6
抔	pau4
蛘	yeung5
療	liu4
译	yik6
碪	cha4
鱉	bit3
构	gau3
逊	seun3
桅	wai4
徽	fai1
穷	kung4
蟷	dong1
獮	sin2
熛	biu1
析	sik1
氄	yung5
幕	mok6
枵	hiu1
忱	sam4
煜	yuk1
纯	seun4
瞩	juk1
儡	leui5
诣	ngai6
軝	kei4
體	tai2
姘	ping1
眇	miu5
向	heung3
惴	chyun3/zeoi3
价	ga3
皱	jau3
侏	jyu1
膾	kui2
颶	geui6
千	chin1/chin1
六	luk6
擐	gwaan3
睏	kwan3
強	keung4/keung5
害	hoi6
振	jan3
媧	wo1
唷	yo1
汾	fan4
拙	jyut3
侅	goi1
麃	biu1
不	bat1
破	po3
犛	lei4
枇	pei4
瀵	fan3
淫	yam4
醭	buk6/pok3
桂	gwai3
觳	huk6
噥	nung4
谪	jaak6
薖	gwo1
柷	juk1
匱	gwai6
艟	tung4
窈	yiu2
邀	yiu1
欃	chaam4
僊	sin1
濕	sap1
螅	sik1
埕	ching4
婿	sai3
櫺	ling4
唵	am2
楨	jing1
柽	ching1
顯	hin2
餡	haam5
宅	jaak6
閫	kwan2
謑	hai5
辅	fu6
唔	m4
守	sau2
夢	mung6
聖	sing3
讓	yeung6
謍	ying4
敺	keui1
往	wong5
佝	kau3
鬵	cham4
勁	ging6/ging3
厦	ha6
廌	jai6/ji6
魴	fong4
禡	ma6
剛	gong1
漲	jeung3/jeung2
袞	gwan2
嗝	gaak3
捨	se2
瑗	yun6
朔	sok3
迪	dik6
别	bit6/bit3
扫	sou3/sou2
悫	kok3
薽	jan1
擣	dou2
訊	seun3
鑢	leui3/leui6
阅	yut6
嗦	so1
倩	sin3
层	chang4
徙	saai2
氖	naai5
驂	chaam1
蜚	fei1/fei2
蔉	gwan2
誰	seui4
码	ma5
扰	yiu2
写	se2
番	faan1
餬	wu4
檣	cheung4
幗	gwok3
學	hok6
過	gwo3
組	jou2
髑	duk6
鲐	toi4
瀝	lik6
髳	mau4
町	ting2
咨	ji1
借	je3
扆	yi2
箝	kim4
忪	sung1/jung1
驏	chin5
氯	luk6
賠	pui4
輴	cheun1
烷	yun4
泮	pun3
涩	sap1/sap3
飑	paau1
绚	hyun3
莝	jo6
钦	yam1
鑽	jyun1
戬	jin2
陸	luk6
鹊	cheuk3
桿	gon2
殮	lim6
锒	long4
敢	gam2
洊	jin3
澤	jaak6
餈	chi4
牍	duk6
畜	chuk1
確	kok3
攝	nip6/sip3
懒	laan5
御	yu6/yu6
芬	fan1
鐮	lim4
贾	ga2/gu2
窒	jat6
鋟	chim1
详	cheung4
猱	naau4
忟	mang2
濼	bok6/lok6
俞	yu4
萹	pin1
袤	mau6
鼋	yun4
痏	fui2
硤	gip3/haap6
釵	cha1/chaai1
穌	sou1
髦	mou4
喉	hau4
縗	cheui1
这	je5
刈	ngaai6
厤	lik6
旷	kwong3
溢	yat6
燋	jiu1
翱	ngou4
懿	yi3
